,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
88,Census Tract 56.05,43611,005605,3565,2536,1813,0.508555399719,1289.69649369,212,0.0594670406732,150.808415147,0,0.0,0.0,151,0.0423562412342,107.41542777,8,0.00224403927069,5.69088359046,972,0.272650771388,691.442356241,409,0.114726507714,290.946423562
89,Census Tract 56.06,59844,005606,4421,3517,3306,0.747794616603,2629.99366659,260,0.0588102239312,206.835557566,0,0.0,0.0,309,0.0698936892106,245.816104954,0,0.0,0.0,92,0.0208097715449,73.1879665234,454,0.102691698711,361.166704366
90,Census Tract 57.01,79806,005701,3000,2292,2100,0.7,1604.4,210,0.07,160.44,0,0.0,0.0,333,0.111,254.412,3,0.001,2.292,190,0.0633333333333,145.16,164,0.0546666666667,125.296
91,Census Tract 57.02,126348,005702,4560,3426,3772,0.827192982456,2833.96315789,50,0.0109649122807,37.5657894737,0,0.0,0.0,262,0.0574561403509,196.844736842,8,0.00175438596491,6.01052631579,174,0.0381578947368,130.728947368,294,0.0644736842105,220.886842105
92,Census Tract 58.01,66167,005801,5356,4274,4401,0.821695294996,3511.92569081,148,0.0276325616131,118.101568335,0,0.0,0.0,207,0.0386482449589,165.182598954,0,0.0,0.0,48,0.00896191187453,38.3032113518,552,0.103061986557,440.486930545
93,Census Tract 58.03,114286,005803,3760,2958,3183,0.846542553191,2504.07287234,7,0.00186170212766,5.50691489362,15,0.00398936170213,11.8005319149,229,0.0609042553191,180.154787234,0,0.0,0.0,160,0.0425531914894,125.872340426,166,0.0441489361702,130.592553191
94,Census Tract 58.04,101875,005804,2530,2028,2088,0.825296442688,1673.70118577,26,0.0102766798419,20.8411067194,0,0.0,0.0,220,0.0869565217391,176.347826087,57,0.0225296442688,45.6901185771,25,0.0098814229249,20.0395256917,114,0.0450592885375,91.3802371542
95,Census Tract 59.01,85486,005901,6260,5172,5029,0.803354632588,4154.95015974,342,0.0546325878594,282.559744409,18,0.00287539936102,14.8715654952,363,0.0579872204473,299.909904153,0,0.0,0.0,165,0.026357827476,136.322683706,343,0.0547923322684,283.385942492
96,Census Tract 59.03,33324,005903,2338,1726,1755,0.750641573995,1295.60735672,175,0.0748502994012,129.191616766,0,0.0,0.0,220,0.0940975192472,162.412318221,0,0.0,0.0,113,0.0483319076133,83.4208725406,75,0.0320786997434,55.3678357571
97,Census Tract 59.04,52102,005904,4788,3518,3868,0.807852965748,2842.0267335,119,0.0248538011696,87.4356725146,62,0.0129490392648,45.5547201337,162,0.0338345864662,119.030075188,2,0.000417710944027,1.46950710109,148,0.030910609858,108.74352548,427,0.0891812865497,313.739766082
